characterName,actorName,season,episode,characterType,firstName
Daphne Moon,Jane Leeves,22,9,main,Daphne
Niles Crane,David Hyde Pierce,22,9,main,Niles
Roz Doyle,Peri Gilpin,22,9,main,Roz
Martin Crane,John Mahoney,22,9,main,Martin
Herm Evans,Joe Flaherty,22,9,other,Herm
Neil 'Sully' Sullivan,Bill Hayes,22,9,other,Neil
Cathy,Catherine Bruhier,22,9,other,Cathy
Frank,Leo Marks,22,9,recurring,Frank
Caller,Scott Hamilton,22,9,other,Caller
Caller,Daryl Hannah,22,9,other,Caller
Caller,Olympia Dukakis,22,9,other,Caller
Caller Carl,Keith Carradine,22,9,other,Caller
Kenny Daly,Tom McGowan,22,9,recurring,Kenny
Episode cast overview:,Episode cast overview:,22,10,NA,Episode
Frasier Crane,Kelsey Grammer,22,10,main,Frasier
Daphne Moon,Jane Leeves,22,10,main,Daphne
Niles Crane,David Hyde Pierce,22,10,main,Niles
Roz Doyle,Peri Gilpin,22,10,main,Roz
Martin Crane,John Mahoney,22,10,main,Martin
Leland Barton,David Ogden Stiers,22,10,other,Leland
Dean of Admissions,Linden Chiles,22,10,other,Dean
Admissions Officer,David St. James,22,10,other,Admissions
Waitress,Amita Balla,22,10,recurring,Waitress
Episode cast overview:,Episode cast overview:,22,11,NA,Episode
Frasier Crane,Kelsey Grammer,22,11,main,Frasier
Daphne Moon,Jane Leeves,22,11,main,Daphne
Niles Crane,David Hyde Pierce,22,11,main,Niles
Roz Doyle,Peri Gilpin,22,11,main,Roz
Martin Crane,John Mahoney,22,11,main,Martin
Lizbeth,Rosie Perez,22,11,other,Lizbeth
Kenny Daly,Tom McGowan,22,11,recurring,Kenny
Episode complete credited cast:,Episode complete credited cast:,23,1,NA,Episode
Frasier Crane,Kelsey Grammer,23,1,main,Frasier
Daphne Moon,Jane Leeves,23,1,main,Daphne
Niles Crane,David Hyde Pierce,23,1,main,Niles
Roz Doyle,Peri Gilpin,23,1,main,Roz
Martin Crane,John Mahoney,23,1,main,Martin
Gil Chesterton,Edward Hibbert,23,1,recurring,Gil
Marjorie,Mary Tyler Moore,23,1,other,Marjorie
Janice,Patricia Hearst,23,1,other,Janice
Howard,Steve Lawrence,23,1,other,Howard
Lois,Eydie Gormé,23,1,other,Lois
Robert,Tommy Hilfiger,23,1,other,Robert
Louis,Garry Trudeau,23,1,other,Louis
Blake,Steve Young,23,1,other,Blake
Episode complete credited cast:,Episode complete credited cast:,23,2,NA,Episode
Frasier Crane,Kelsey Grammer,23,2,main,Frasier
Daphne Moon,Jane Leeves,23,2,main,Daphne
Niles Crane,David Hyde Pierce,23,2,main,Niles
Roz Doyle,Peri Gilpin,23,2,main,Roz
Martin Crane,John Mahoney,23,2,main,Martin
Bulldog Briscoe,Dan Butler,23,2,recurring,Bulldog
Gil Chesterton,Edward Hibbert,23,2,recurring,Gil
Owner,Mike Nussbaum,23,2,other,Owner
Otto,Nathan Davis,23,2,other,Otto
Brad,Diedrich Bader,23,2,other,Brad
Maurice,Jay Bell,23,2,other,Maurice
Sous Chef,Alan Shearman,23,2,other,Sous
Waiter,Robert Lee Jacobs,23,2,recurring,Waiter
Bartender,Tom Hewitt,23,2,recurring,Bartender
Customer,Deborah Lacey,23,2,recurring,Customer
Episode complete credited cast:,Episode complete credited cast:,23,3,NA,Episode
Frasier Crane,Kelsey Grammer,23,3,main,Frasier
Daphne Moon,Jane Leeves,23,3,main,Daphne
Niles Crane,David Hyde Pierce,23,3,main,Niles
Roz Doyle,Peri Gilpin,23,3,main,Roz
Martin Crane,John Mahoney,23,3,main,Martin
Bulldog Briscoe,Dan Butler,23,3,recurring,Bulldog
Manu,Tony Shalhoub,23,3,other,Manu
Amanda,Marita Geraghty,23,3,recurring,Amanda
Leader,Henry Woronicz,23,3,other,Leader
Data Collector,Cameron Watson,23,3,other,Data
Cathy,Heather MacRae,23,3,other,Cathy
Gary,Pat Skipper,23,3,other,Gary
Chuck,David Breitbarth,23,3,other,Chuck
Anne,Lin Shaye,23,3,other,Anne
Paul,Abdul Salaam El Razzac,23,3,other,Paul
Episode complete credited cast:,Episode complete credited cast:,23,4,NA,Episode
Frasier Crane,Kelsey Grammer,23,4,main,Frasier
Daphne Moon,Jane Leeves,23,4,main,Daphne
Niles Crane,David Hyde Pierce,23,4,main,Niles
Roz Doyle,Peri Gilpin,23,4,main,Roz
Martin Crane,John Mahoney,23,4,main,Martin
Laura,Linda Hamilton,23,4,other,Laura
Woman at Airport,Lisa Guerrero,23,4,other,Woman
Johnny,Miles Marsico,23,4,other,Johnny
Ethan,Joshua J. Greene,23,4,other,Ethan
Maitre D',Carl Reggiardo,23,4,other,Maitre
Waiter,Tom Astor,23,4,recurring,Waiter
Amanda,Kris Edlund,23,4,recurring,Amanda
Woman with Chair,Dulcy Rogers,23,4,other,Woman
Husband,Layne Beamer,23,4,other,Husband
Episode complete credited cast:,Episode complete credited cast:,23,5,NA,Episode
Frasier Crane,Kelsey Grammer,23,5,main,Frasier
Daphne Moon,Jane Leeves,23,5,main,Daphne
Niles Crane,David Hyde Pierce,23,5,main,Niles
Roz Doyle,Peri Gilpin,23,5,main,Roz
Bulldog Briscoe,Dan Butler,23,5,recurring,Bulldog
Martin Crane,John Mahoney,23,5,main,Martin
Tricia,Lisa Waltz,23,5,other,Tricia
Allison,Marcia Mitzman Gaven,23,5,other,Allison
Noel Shempsky,Patrick Kerr,23,5,recurring,Noel
Karl,James Harper,23,5,other,Karl
Nigel,John-David Keller,23,5,other,Nigel
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,23,5,NA,Rest
Karl,Brian Smiar,23,5,other,Karl
Episode credited cast:,Episode credited cast:,23,6,NA,Episode
Frasier Crane,Kelsey Grammer,23,6,main,Frasier
Daphne Moon,Jane Leeves,23,6,main,Daphne
Niles Crane,David Hyde Pierce,23,6,main,Niles
Roz Doyle,Peri Gilpin,23,6,main,Roz
Bulldog Briscoe,Dan Butler,23,6,recurring,Bulldog
Martin Crane,John Mahoney,23,6,main,Martin
Faye Moskowitz,Amy Brenneman,23,6,recurring,Faye
Donny Douglas,Saul Rubinek,23,6,recurring,Donny
Cassandra Stone,Virginia Madsen,23,6,other,Cassandra
Kit,Jessica Cauffiel,23,6,other,Kit
Noel Shempsky,Patrick Kerr,23,6,recurring,Noel
Bonnie,Alice Playten,23,6,other,Bonnie
Jack,Jason Graae,23,6,other,Jack
Bartender,Gregory Jbara,23,6,other,Bartender
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,23,6,NA,Rest
Larry,Phil Donahue,23,6,other,Larry
Episode complete credited cast:,Episode complete credited cast:,23,7,NA,Episode
Frasier Crane,Kelsey Grammer,23,7,main,Frasier
Daphne Moon,Jane Leeves,23,7,main,Daphne
Niles Crane,David Hyde Pierce,23,7,main,Niles
Roz Doyle,Peri Gilpin,23,7,main,Roz
Martin Crane,John Mahoney,23,7,main,Martin
Donny Douglas,Saul Rubinek,23,7,recurring,Donny
Mel Karnofsky,Jane Adams,23,7,recurring,Mel
Gertrude Moon,Millicent Martin,23,7,recurring,Gertrude
Mrs. Richman,Brooks Almy,23,7,recurring,Mrs.
Miss Carney,Teri Ralston,23,7,other,Miss
Tim Walsh,Thomas Byrd,23,7,other,Tim
Nigel Moon,Cameron Dye,23,7,other,Nigel
Bartender,Rob Klingman,23,7,recurring,Bartender
Waiter,Anthony Montgomery,23,7,other,Waiter
Simon Moon,Anthony LaPaglia,23,7,recurring,Simon
Episode complete credited cast:,Episode complete credited cast:,23,8,NA,Episode
Frasier Crane,Kelsey Grammer,23,8,main,Frasier
Daphne Moon,Jane Leeves,23,8,main,Daphne
Niles Crane,David Hyde Pierce,23,8,main,Niles
Roz Doyle,Peri Gilpin,23,8,main,Roz
Martin Crane,John Mahoney,23,8,main,Martin
Lana Gardner,Jean Smart,23,8,recurring,Lana
Jim,Tom Verica,23,8,other,Jim
Phillip,Patrick Breen,23,8,other,Phillip
Joanne,Mary-Joan Negro,23,8,other,Joanne
Mrs. Smolenski,Gloria LeRoy,23,8,other,Mrs.
Mr. Smolenski,Biff McGuire,23,8,other,Mr.
David Hicks,Mark Durbin,23,8,other,David
Board Member,Cyndi Martino,23,8,other,Board
Board Member,Steve Stapenhorst,23,8,other,Board
Board Member,Mark Withers,23,8,other,Board
Episode complete credited cast:,Episode complete credited cast:,23,9,NA,Episode
Frasier Crane,Kelsey Grammer,23,9,main,Frasier
Daphne Moon,Jane Leeves,23,9,main,Daphne
Niles Crane,David Hyde Pierce,23,9,main,Niles
Roz Doyle,Peri Gilpin,23,9,main,Roz
Martin Crane,John Mahoney,23,9,main,Martin
Gertrude Moon,Millicent Martin,23,9,recurring,Gertrude
Denise,Suzanne Cryer,23,9,other,Denise
Craig,Ted King,23,9,other,Craig
Aunt Pearl,Marcia Ann Burrs,23,9,other,Aunt
Curtis,Bobby Brewer,23,9,other,Curtis
Harry Moon,Brian Cox,23,9,other,Harry
Episode cast overview:,Episode cast overview:,23,10,NA,Episode
Frasier Crane,Kelsey Grammer,23,10,main,Frasier
Daphne Moon,Jane Leeves,23,10,main,Daphne
Niles Crane,David Hyde Pierce,23,10,main,Niles
Roz Doyle,Peri Gilpin,23,10,main,Roz
Martin Crane,John Mahoney,23,10,main,Martin
Julia Wilcox,Felicity Huffman,23,10,recurring,Julia
Gertrude Moon,Millicent Martin,23,10,recurring,Gertrude
Woody Wiswell Jr,David Alan Basche,23,10,other,Woody
Red,Dennis Cockrum,23,10,other,Red
Wayne,Dan Gerrity,23,10,other,Wayne
Mitch,Keith Sellon-Wright,23,10,other,Mitch
Ernie,Bill Paxton,23,10,other,Ernie
Kenny Daly,Tom McGowan,23,10,recurring,Kenny
"Episode cast overview, first billed only:","Episode cast overview, first billed only:",23,11,NA,Episode
Frasier Crane,Kelsey Grammer,23,11,main,Frasier
Daphne Moon,Jane Leeves,23,11,main,Daphne
Niles Crane,David Hyde Pierce,23,11,main,Niles
Roz Doyle,Peri Gilpin,23,11,main,Roz
Martin Crane,John Mahoney,23,11,main,Martin
Ronee Lawrence,Wendie Malick,23,11,recurring,Ronee
Bebe Glazer,Harriet Sansom Harris,23,11,recurring,Bebe
Simon Moon,Anthony LaPaglia,23,11,recurring,Simon
Michael Moon,Robbie Coltrane,23,11,other,Michael
Stephen Moon,Richard E. Grant,23,11,other,Stephen
Anne Ranberg,Jennifer Beals,23,11,other,Anne
Charlotte,Laura Linney,23,11,recurring,Charlotte
Alice May Doyle,Ashley Thomas,23,11,recurring,Alice
Clint,Mark Deklin,23,11,other,Clint
Kenny Daly,Tom McGowan,23,11,recurring,Kenny
Episode complete credited cast:,Episode complete credited cast:,24,1,NA,Episode
Frasier Crane,Kelsey Grammer,24,1,main,Frasier
Daphne Moon,Jane Leeves,24,1,main,Daphne
Niles Crane,David Hyde Pierce,24,1,main,Niles
Roz Doyle,Peri Gilpin,24,1,main,Roz
Martin Crane,John Mahoney,24,1,main,Martin
Waitress,Luck Hari,24,1,recurring,Waitress
Eddie,Moose,24,1,recurring,Eddie
Episode complete credited cast:,Episode complete credited cast:,24,2,NA,Episode
Frasier Crane,Kelsey Grammer,24,2,main,Frasier
Daphne Moon,Jane Leeves,24,2,main,Daphne
Niles Crane,David Hyde Pierce,24,2,main,Niles
Roz Doyle,Peri Gilpin,24,2,main,Roz
Martin Crane,John Mahoney,24,2,main,Martin
Curtis,Josh Adell,24,2,other,Curtis
Caroline,Shelley Duvall,24,2,other,Caroline
Episode complete credited cast:,Episode complete credited cast:,24,3,NA,Episode
Frasier Crane,Kelsey Grammer,24,3,main,Frasier
Daphne Moon,Jane Leeves,24,3,main,Daphne
Niles Crane,David Hyde Pierce,24,3,main,Niles
Roz Doyle,Peri Gilpin,24,3,main,Roz
Martin Crane,John Mahoney,24,3,main,Martin
Waiter,John Rajeski,24,3,recurring,Waiter
Angela,Sherry Lansing,24,3,other,Angela
Episode complete credited cast:,Episode complete credited cast:,24,5,NA,Episode
Frasier Crane,Kelsey Grammer,24,5,main,Frasier
Daphne Moon,Jane Leeves,24,5,main,Daphne
Niles Crane,David Hyde Pierce,24,5,main,Niles
Roz Doyle,Peri Gilpin,24,5,main,Roz
Bulldog Briscoe,Dan Butler,24,5,recurring,Bulldog
Martin Crane,John Mahoney,24,5,main,Martin
Kenny Daly,Tom McGowan,24,5,recurring,Kenny
Mr. Martin,Miguel Sandoval,24,5,other,Mr.
Protester,Matt McGrath,24,5,other,Protester
Tooty,Marsha Kramer,24,5,other,Tooty
Policeman,Bill Ferrell,24,5,other,Policeman
Patrick,John McEnroe,24,5,other,Patrick
Gil Chesterton,Edward Hibbert,24,5,recurring,Gil
Episode credited cast:,Episode credited cast:,24,6,NA,Episode
Frasier Crane,Kelsey Grammer,24,6,main,Frasier
Daphne Moon,Jane Leeves,24,6,main,Daphne
Niles Crane,David Hyde Pierce,24,6,main,Niles
Roz Doyle,Peri Gilpin,24,6,main,Roz
Bulldog Briscoe,Dan Butler,24,6,recurring,Bulldog
Martin Crane,John Mahoney,24,6,main,Martin
Faye Moskowitz,Amy Brenneman,24,6,recurring,Faye
Donny Douglas,Saul Rubinek,24,6,recurring,Donny
Cassandra Stone,Virginia Madsen,24,6,other,Cassandra
Kit,Jessica Cauffiel,24,6,other,Kit
Noel Shempsky,Patrick Kerr,24,6,recurring,Noel
Bonnie,Alice Playten,24,6,other,Bonnie
Jack,Jason Graae,24,6,other,Jack
Bartender,Gregory Jbara,24,6,recurring,Bartender
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,24,6,NA,Rest
Larry,Phil Donahue,24,6,other,Larry
Episode complete credited cast:,Episode complete credited cast:,24,7,NA,Episode
Frasier Crane,Kelsey Grammer,24,7,main,Frasier
Daphne Moon,Jane Leeves,24,7,main,Daphne
Niles Crane,David Hyde Pierce,24,7,main,Niles
Roz Doyle,Peri Gilpin,24,7,main,Roz
Martin Crane,John Mahoney,24,7,main,Martin
Donny Douglas,Saul Rubinek,24,7,recurring,Donny
Mel Karnofsky,Jane Adams,24,7,recurring,Mel
Gertrude Moon,Millicent Martin,24,7,recurring,Gertrude
Mrs. Richman,Brooks Almy,24,7,recurring,Mrs.
Miss Carney,Teri Ralston,24,7,other,Miss
Tim Walsh,Thomas Byrd,24,7,other,Tim
Nigel Moon,Cameron Dye,24,7,other,Nigel
Bartender,Rob Klingman,24,7,recurring,Bartender
Waiter,Anthony Montgomery,24,7,other,Waiter
Simon Moon,Anthony LaPaglia,24,7,recurring,Simon
Episode complete credited cast:,Episode complete credited cast:,24,8,NA,Episode
Frasier Crane,Kelsey Grammer,24,8,main,Frasier
Daphne Moon,Jane Leeves,24,8,main,Daphne
Niles Crane,David Hyde Pierce,24,8,main,Niles
Roz Doyle,Peri Gilpin,24,8,main,Roz
Martin Crane,John Mahoney,24,8,main,Martin
Lana Gardner,Jean Smart,24,8,recurring,Lana
Claire French,Patricia Clarkson,24,8,recurring,Claire
Hotel Manager,Regi Davis,24,8,other,Hotel
Waiter,Bernard Addison,24,8,other,Waiter
Hostess,Terri Hoyos,24,8,other,Hostess
Lilith Sternin,Bebe Neuwirth,24,8,recurring,Lilith
Episode complete credited cast:,Episode complete credited cast:,24,9,NA,Episode
Frasier Crane,Kelsey Grammer,24,9,main,Frasier
Daphne Moon,Jane Leeves,24,9,main,Daphne
Niles Crane,David Hyde Pierce,24,9,main,Niles
Roz Doyle,Peri Gilpin,24,9,main,Roz
Martin Crane,John Mahoney,24,9,main,Martin
Harry Moon,Brian Cox,24,9,other,Harry
Gertrude Moon,Millicent Martin,24,9,recurring,Gertrude
Henri,Jarion Monroe,24,9,other,Henri
Man in Bar,Joseph Sikora,24,9,other,Man
Barfly,Christopher Shea,24,9,other,Barfly
Barfly,Ian Patrick Williams,24,9,other,Barfly
Barfly,Jamieson Price,24,9,other,Barfly
Episode cast overview:,Episode cast overview:,24,10,NA,Episode
Frasier Crane,Kelsey Grammer,24,10,main,Frasier
Daphne Moon,Jane Leeves,24,10,main,Daphne
Niles Crane,David Hyde Pierce,24,10,main,Niles
Roz Doyle,Peri Gilpin,24,10,main,Roz
Martin Crane,John Mahoney,24,10,main,Martin
Julia Wilcox,Felicity Huffman,24,10,recurring,Julia
Gertrude Moon,Millicent Martin,24,10,recurring,Gertrude
Bulldog Briscoe,Dan Butler,24,10,recurring,Bulldog
Gil Chesterton,Edward Hibbert,24,10,recurring,Gil
Noel Shempsky,Patrick Kerr,24,10,recurring,Noel
Woody Wiswell Jr,David Alan Basche,24,10,other,Woody
Alice May Doyle,Ashley Thomas,24,10,recurring,Alice
Kenny Daly,Tom McGowan,24,10,recurring,Kenny
"Episode cast overview, first billed only:","Episode cast overview, first billed only:",24,11,NA,Episode
Frasier Crane,Kelsey Grammer,24,11,main,Frasier
Daphne Moon,Jane Leeves,24,11,main,Daphne
Niles Crane,David Hyde Pierce,24,11,main,Niles
Roz Doyle,Peri Gilpin,24,11,main,Roz
Martin Crane,John Mahoney,24,11,main,Martin
Ronee Lawrence,Wendie Malick,24,11,recurring,Ronee
Bebe Glazer,Harriet Sansom Harris,24,11,recurring,Bebe
Anne Ranberg,Jennifer Beals,24,11,other,Anne
Gil Chesterton,Edward Hibbert,24,11,recurring,Gil
Noel Shempsky,Patrick Kerr,24,11,recurring,Noel
Rachel,Arleen Sorkin,24,11,other,Rachel
Moving Man,Cleto Augusto,24,11,other,Moving
Steve Glazer,Chris Marcil,24,11,other,Steve
Paramedic Rob,Marc Wilson,24,11,other,Paramedic
Hauck,Jason Biggs,24,11,other,Hauck
